Class,Section,Type
ENGL 0999,M,Partially at a Distance (BOR) Instructional Method
ENGL 1101,A2,Partially at a Distance (BOR) Instructional Method
ENGL 1101,A3,Partially at a Distance (BOR) Instructional Method
ENGL 1101,A4,Partially at a Distance (BOR) Instructional Method
ENGL 1101,A5,Fully at a Distance (BOR) Instructional Method
ENGL 1101,B1,Partially at a Distance (BOR) Instructional Method
ENGL 1101,C1,Partially at a Distance (BOR) Instructional Method
ENGL 1101,C2,Partially at a Distance (BOR) Instructional Method
ENGL 1101,D2,Partially at a Distance (BOR) Instructional Method
ENGL 1101,D3,Partially at a Distance (BOR) Instructional Method
ENGL 1101,D5,Fully at a Distance (BOR) Instructional Method
ENGL 1101,E1,Partially at a Distance (BOR) Instructional Method
ENGL 1101,E2,Partially at a Distance (BOR) Instructional Method
ENGL 1101,F2,Partially at a Distance (BOR) Instructional Method
ENGL 1101,G1,Partially at a Distance (BOR) Instructional Method
ENGL 1101,G3,Fully at a Distance (BOR) Instructional Method
ENGL 1101,G6,Partially at a Distance (BOR) Instructional Method
ENGL 1101,H1,Fully at a Distance (BOR) Instructional Method
ENGL 1101,HP,Fully at a Distance (BOR) Instructional Method
ENGL 1101,I2,Fully at a Distance (BOR) Instructional Method
ENGL 1101,I3,Partially at a Distance (BOR) Instructional Method
ENGL 1101,J,Partially at a Distance (BOR) Instructional Method
ENGL 1101,J1,Fully at a Distance (BOR) Instructional Method
ENGL 1101,J2,Partially at a Distance (BOR) Instructional Method
ENGL 1101,L1,Partially at a Distance (BOR) Instructional Method
ENGL 1101,L6,Partially at a Distance (BOR) Instructional Method
ENGL 1101,M,Fully at a Distance (BOR) Instructional Method
ENGL 1101,N2,Partially at a Distance (BOR) Instructional Method
ENGL 1101,N6,Partially at a Distance (BOR) Instructional Method
ENGL 1101,O,Fully at a Distance (BOR) Instructional Method
ENGL 1101,O1,Partially at a Distance (BOR) Instructional Method
ENGL 1101,SZ1,Fully at a Distance (BOR) Instructional Method
ENGL 1101,SZ2,Fully at a Distance (BOR) Instructional Method
ENGL 1101,SZ3,Fully at a Distance (BOR) Instructional Method
ENGL 1101,T1,Partially at a Distance (BOR) Instructional Method
ENGL 1101,U,Partially at a Distance (BOR) Instructional Method
ENGL 1101,X,Partially at a Distance (BOR) Instructional Method
ENGL 1101,X1,Partially at a Distance (BOR) Instructional Method
ENGL 1102,A3,Partially at a Distance (BOR) Instructional Method
ENGL 1102,A5,Partially at a Distance (BOR) Instructional Method
ENGL 1102,B1,Partially at a Distance (BOR) Instructional Method
ENGL 1102,B3,Partially at a Distance (BOR) Instructional Method
ENGL 1102,B7,Partially at a Distance (BOR) Instructional Method
ENGL 1102,C1,Partially at a Distance (BOR) Instructional Method
ENGL 1102,C2,Partially at a Distance (BOR) Instructional Method
ENGL 1102,C3,Partially at a Distance (BOR) Instructional Method
ENGL 1102,D2,Partially at a Distance (BOR) Instructional Method
ENGL 1102,D4,Partially at a Distance (BOR) Instructional Method
ENGL 1102,D5,Partially at a Distance (BOR) Instructional Method
ENGL 1102,E1,Partially at a Distance (BOR) Instructional Method
ENGL 1102,F3,Partially at a Distance (BOR) Instructional Method
ENGL 1102,F5,Partially at a Distance (BOR) Instructional Method
ENGL 1102,G1,Partially at a Distance (BOR) Instructional Method
ENGL 1102,G4,Partially at a Distance (BOR) Instructional Method
ENGL 1102,H4,Partially at a Distance (BOR) Instructional Method
ENGL 1102,HP1,Partially at a Distance (BOR) Instructional Method
ENGL 1102,HP2,Partially at a Distance (BOR) Instructional Method
ENGL 1102,HP3,Partially at a Distance (BOR) Instructional Method
ENGL 1102,HP4,Partially at a Distance (BOR) Instructional Method
ENGL 1102,HP5,Partially at a Distance (BOR) Instructional Method
ENGL 1102,I,Partially at a Distance (BOR) Instructional Method
ENGL 1102,J2,Partially at a Distance (BOR) Instructional Method
ENGL 1102,J4,Partially at a Distance (BOR) Instructional Method
ENGL 1102,K,Partially at a Distance (BOR) Instructional Method
ENGL 1102,L1,Partially at a Distance (BOR) Instructional Method
ENGL 1102,L2,Partially at a Distance (BOR) Instructional Method
ENGL 1102,M,Partially at a Distance (BOR) Instructional Method
ENGL 1102,M1,Partially at a Distance (BOR) Instructional Method
ENGL 1102,N3,Partially at a Distance (BOR) Instructional Method
ENGL 1102,N4,Partially at a Distance (BOR) Instructional Method
ENGL 1102,N6,Partially at a Distance (BOR) Instructional Method
ENGL 1102,Q2,Partially at a Distance (BOR) Instructional Method
ENGL 1102,S,Partially at a Distance (BOR) Instructional Method
ENGL 1102,X,Partially at a Distance (BOR) Instructional Method
ENGL 1102,X2,Partially at a Distance (BOR) Instructional Method
